,default_cat,pdays_cat,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,housing,loan,contact,month,day_of_week,poutcome,age,campaign,previous
11177,no,0,1.4,94.465,-41.8,4.961,5228.1,admin.,married,university.degree,no,no,telephone,jun,thu,nonexistent,43,2,0
5221,no,0,1.1,93.994,-36.4,4.857,5191.0,admin.,single,university.degree,no,no,telephone,may,fri,nonexistent,29,1,0
36606,no,3,-2.9,92.963,-40.8,1.26,5076.2,services,single,high.school,yes,no,cellular,jun,thu,success,25,2,1
31956,unknown|yes,0,-1.8,92.893,-46.2,1.327,5099.1,student,single,university.degree,yes,no,cellular,may,thu,nonexistent,28,2,0
30717,no,0,-1.8,92.893,-46.2,1.344,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,tue,nonexistent,39,1,0
31136,no,0,-1.8,92.893,-46.2,1.334,5099.1,blue-collar,single,high.school,yes,no,cellular,may,wed,nonexistent,31,1,0
16033,no,0,1.4,93.918,-42.7,4.961,5228.1,admin.,single,university.degree,yes,no,cellular,jul,tue,nonexistent,31,1,0
35649,no,0,-1.8,92.893,-46.2,1.244,5099.1,admin.,single,high.school,yes,yes,cellular,may,mon,nonexistent,30,1,0
11390,no,0,1.4,94.465,-41.8,4.959,5228.1,services,single,high.school,no,yes,telephone,jun,fri,nonexistent,31,5,0
795,no,0,1.1,93.994,-36.4,4.856,5191.0,services,single,university.degree,yes,no,telephone,may,wed,nonexistent,36,1,0
581,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,no,no,telephone,may,tue,nonexistent,30,2,0
2158,no,0,1.1,93.994,-36.4,4.857,5191.0,services,married,high.school,yes,no,telephone,may,mon,nonexistent,31,1,0
5674,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,single,high.school,no,yes,telephone,may,mon,nonexistent,44,1,0
12904,no,0,1.4,93.918,-42.7,4.962,5228.1,admin.,single,professional.course,no,no,cellular,jul,tue,nonexistent,27,2,0
34149,unknown|yes,0,-1.8,92.893,-46.2,1.281,5099.1,blue-collar,married,professional.course,no,no,cellular,may,wed,failure,34,2,1
29642,no,0,-1.8,93.075,-47.1,1.405,5099.1,admin.,married,university.degree,yes,no,cellular,apr,mon,nonexistent,46,1,0
30066,no,0,-1.8,93.075,-47.1,1.406,5099.1,admin.,married,basic.4y,yes,yes,cellular,apr,thu,nonexistent,34,4,0
16265,no,0,1.4,93.918,-42.7,4.961,5228.1,blue-collar,married,professional.course,no,no,cellular,jul,tue,nonexistent,24,10,0
32852,no,0,-1.8,92.893,-46.2,1.299,5099.1,blue-collar,married,basic.9y,no,yes,telephone,may,mon,failure,38,1,1
5418,no,0,1.1,93.994,-36.4,4.857,5191.0,unemployed,married,professional.course,yes,no,telephone,may,fri,nonexistent,31,3,0
6446,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.4y,yes,no,telephone,may,wed,nonexistent,45,1,0
32162,no,0,-1.8,92.893,-46.2,1.313,5099.1,retired,single,university.degree,no,no,cellular,may,fri,nonexistent,57,1,0
25328,no,0,-0.1,93.2,-42.0,4.153,5195.8,management,married,university.degree,no,yes,cellular,nov,tue,nonexistent,57,2,0
28338,no,0,-1.8,93.075,-47.1,1.445,5099.1,admin.,divorced,university.degree,no,no,cellular,apr,wed,nonexistent,40,2,0
23103,unknown|yes,0,1.4,93.444,-36.1,4.965,5228.1,admin.,married,university.degree,yes,no,cellular,aug,tue,nonexistent,48,1,0
5146,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.9y,no,no,telephone,may,fri,nonexistent,38,1,0
15256,no,0,1.4,93.918,-42.7,4.958,5228.1,technician,single,professional.course,no,no,cellular,jul,thu,nonexistent,44,3,0
9300,no,0,1.4,94.465,-41.8,4.967,5228.1,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,nonexistent,38,4,0
34043,no,0,-1.8,92.893,-46.2,1.281,5099.1,admin.,single,high.school,no,no,cellular,may,wed,nonexistent,29,4,0
971,no,0,1.1,93.994,-36.4,4.856,5191.0,management,single,university.degree,yes,no,telephone,may,wed,nonexistent,33,2,0
892,no,0,1.1,93.994,-36.4,4.856,5191.0,blue-collar,married,basic.9y,no,no,telephone,may,wed,nonexistent,33,2,0
25456,no,0,-0.1,93.2,-42.0,4.12,5195.8,blue-collar,single,basic.9y,yes,no,cellular,nov,wed,nonexistent,48,1,0
31009,no,0,-1.8,92.893,-46.2,1.344,5099.1,self-employed,married,basic.9y,yes,yes,cellular,may,tue,nonexistent,55,2,0
12490,no,0,1.4,93.918,-42.7,4.96,5228.1,technician,married,university.degree,no,no,cellular,jul,mon,nonexistent,28,1,0
33347,no,0,-1.8,92.893,-46.2,1.291,5099.1,blue-collar,married,basic.9y,yes,no,cellular,may,tue,nonexistent,38,1,0
33306,no,0,-1.8,92.893,-46.2,1.291,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,tue,nonexistent,31,3,0
35972,no,0,-1.8,92.893,-46.2,1.264,5099.1,services,single,university.degree,no,no,cellular,may,mon,nonexistent,31,2,0
37897,no,0,-3.4,92.379,-29.8,0.819,5017.5,admin.,single,university.degree,yes,yes,cellular,sep,tue,nonexistent,38,1,0
4954,no,0,1.1,93.994,-36.4,4.858,5191.0,services,single,university.degree,no,no,telephone,may,wed,nonexistent,40,2,0
36531,no,4,-2.9,92.963,-40.8,1.26,5076.2,admin.,married,university.degree,yes,no,cellular,jun,wed,success,48,2,1
16097,no,0,1.4,93.918,-42.7,4.961,5228.1,blue-collar,single,basic.6y,no,no,cellular,jul,tue,nonexistent,24,1,0
40309,no,6,-1.7,94.215,-40.3,0.896,4991.6,management,married,university.degree,yes,no,cellular,jul,fri,success,37,1,1
20203,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,single,high.school,yes,no,cellular,aug,mon,nonexistent,33,2,0
11403,no,0,1.4,94.465,-41.8,4.959,5228.1,entrepreneur,married,basic.9y,yes,no,telephone,jun,fri,nonexistent,40,3,0
36847,no,0,-2.9,92.963,-40.8,1.26,5076.2,technician,married,professional.course,no,no,cellular,jun,mon,nonexistent,37,1,0
13579,no,0,1.4,93.918,-42.7,4.963,5228.1,self-employed,married,university.degree,yes,no,cellular,jul,thu,nonexistent,30,2,0
4613,no,0,1.1,93.994,-36.4,4.856,5191.0,technician,single,high.school,no,yes,telephone,may,tue,nonexistent,31,10,0
28535,no,0,-1.8,93.075,-47.1,1.415,5099.1,self-employed,divorced,basic.9y,yes,no,cellular,apr,wed,failure,37,2,1
39532,no,0,-1.8,93.749,-34.6,0.646,5008.7,student,single,university.degree,yes,no,cellular,apr,tue,nonexistent,20,3,0
18180,unknown|yes,0,1.4,93.918,-42.7,4.963,5228.1,admin.,single,basic.9y,no,yes,cellular,jul,wed,nonexistent,39,4,0
32076,no,0,-1.8,92.893,-46.2,1.313,5099.1,services,married,high.school,yes,yes,cellular,may,fri,nonexistent,38,1,0
17648,no,0,1.4,93.918,-42.7,4.962,5228.1,retired,divorced,professional.course,no,no,cellular,jul,mon,nonexistent,60,7,0
30783,unknown|yes,6,-1.8,92.893,-46.2,1.344,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,tue,success,43,1,1
12630,no,0,1.4,93.918,-42.7,4.96,5228.1,blue-collar,single,basic.9y,no,no,cellular,jul,mon,nonexistent,30,2,0
15868,unknown|yes,0,1.4,93.918,-42.7,4.96,5228.1,blue-collar,married,university.degree,no,no,cellular,jul,mon,nonexistent,56,1,0
14595,no,0,1.4,93.918,-42.7,4.961,5228.1,management,single,high.school,no,yes,cellular,jul,tue,nonexistent,29,4,0
1220,no,0,1.1,93.994,-36.4,4.855,5191.0,entrepreneur,single,university.degree,yes,no,telephone,may,thu,nonexistent,42,1,0
36707,no,0,-2.9,92.963,-40.8,1.268,5076.2,technician,married,professional.course,yes,no,telephone,jun,fri,nonexistent,35,1,0
12596,no,0,1.4,93.918,-42.7,4.96,5228.1,entrepreneur,married,university.degree,yes,no,cellular,jul,mon,nonexistent,50,2,0
25028,no,0,-0.1,93.2,-42.0,4.153,5195.8,management,married,high.school,no,no,cellular,nov,tue,failure,39,2,1
18942,no,0,1.4,93.444,-36.1,4.97,5228.1,management,single,university.degree,yes,no,cellular,aug,mon,nonexistent,35,2,0
32424,no,0,-1.8,92.893,-46.2,1.313,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,fri,nonexistent,34,4,0
22290,no,0,1.4,93.444,-36.1,4.963,5228.1,self-employed,married,basic.9y,yes,no,cellular,aug,thu,nonexistent,56,5,0
13323,unknown|yes,0,1.4,93.918,-42.7,4.962,5228.1,housemaid,married,basic.4y,yes,no,cellular,jul,wed,nonexistent,44,1,0
10161,no,0,1.4,94.465,-41.8,4.958,5228.1,self-employed,divorced,university.degree,yes,no,telephone,jun,thu,nonexistent,36,2,0
6012,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,basic.9y,yes,no,telephone,may,tue,nonexistent,41,1,0
38732,no,0,-3.4,92.649,-30.1,0.715,5017.5,admin.,single,university.degree,yes,no,cellular,nov,tue,failure,45,3,1
9808,unknown|yes,0,1.4,94.465,-41.8,4.959,5228.1,housemaid,married,high.school,no,no,telephone,jun,wed,nonexistent,30,5,0
20370,no,0,1.4,93.444,-36.1,4.966,5228.1,admin.,married,university.degree,no,no,cellular,aug,tue,nonexistent,31,6,0
3126,no,0,1.1,93.994,-36.4,4.86,5191.0,entrepreneur,single,basic.9y,no,no,telephone,may,thu,nonexistent,31,1,0
34150,no,0,-1.8,92.893,-46.2,1.281,5099.1,retired,divorced,professional.course,yes,no,cellular,may,wed,nonexistent,59,3,0
6978,unknown|yes,0,1.1,93.994,-36.4,4.86,5191.0,unemployed,married,university.degree,no,no,telephone,may,thu,nonexistent,43,1,0
35401,no,0,-1.8,92.893,-46.2,1.25,5099.1,services,divorced,professional.course,no,no,cellular,may,fri,nonexistent,37,2,0
25476,no,0,-0.1,93.2,-42.0,4.12,5195.8,retired,married,professional.course,no,no,cellular,nov,wed,nonexistent,58,1,0
38618,no,0,-3.4,92.649,-30.1,0.722,5017.5,admin.,married,high.school,yes,no,telephone,nov,mon,nonexistent,37,1,0
16210,no,0,1.4,93.918,-42.7,4.961,5228.1,blue-collar,single,basic.4y,yes,no,cellular,jul,tue,nonexistent,31,1,0
2265,no,0,1.1,93.994,-36.4,4.856,5191.0,admin.,single,high.school,no,no,telephone,may,tue,nonexistent,26,1,0
27779,no,0,-1.8,92.843,-50.0,1.687,5099.1,management,single,university.degree,yes,no,cellular,mar,tue,nonexistent,32,1,0
18006,no,0,1.4,93.918,-42.7,4.963,5228.1,services,single,high.school,yes,no,cellular,jul,wed,nonexistent,26,2,0
24776,no,0,-0.1,93.2,-42.0,4.153,5195.8,management,married,university.degree,yes,no,cellular,nov,tue,nonexistent,41,1,0
4832,no,0,1.1,93.994,-36.4,4.858,5191.0,technician,married,professional.course,yes,no,telephone,may,wed,nonexistent,33,1,0
11508,no,0,1.4,94.465,-41.8,4.959,5228.1,services,single,university.degree,no,no,telephone,jun,fri,nonexistent,37,1,0
142,no,0,1.1,93.994,-36.4,4.857,5191.0,management,married,university.degree,yes,no,telephone,may,mon,nonexistent,39,1,0
23156,no,0,1.4,93.444,-36.1,4.965,5228.1,management,married,university.degree,no,no,cellular,aug,tue,nonexistent,40,11,0
32514,no,0,-1.8,92.893,-46.2,1.313,5099.1,blue-collar,married,basic.4y,yes,no,telephone,may,fri,nonexistent,50,4,0
7268,unknown|yes,0,1.1,93.994,-36.4,4.86,5191.0,services,married,high.school,yes,yes,telephone,may,thu,nonexistent,32,3,0
17422,no,0,1.4,93.918,-42.7,4.962,5228.1,admin.,single,university.degree,no,no,cellular,jul,mon,nonexistent,31,1,0
16831,no,0,1.4,93.918,-42.7,4.962,5228.1,retired,single,basic.9y,no,no,telephone,jul,thu,nonexistent,52,6,0
12036,unknown|yes,0,1.4,94.465,-41.8,4.955,5228.1,retired,divorced,basic.4y,yes,no,telephone,jun,thu,nonexistent,60,2,0
3180,unknown|yes,0,1.1,93.994,-36.4,4.86,5191.0,blue-collar,married,basic.6y,no,no,telephone,may,thu,nonexistent,40,1,0
24980,no,0,-0.1,93.2,-42.0,4.153,5195.8,admin.,married,high.school,yes,no,cellular,nov,tue,nonexistent,55,1,0
18943,no,0,1.4,93.444,-36.1,4.97,5228.1,blue-collar,married,basic.9y,yes,no,cellular,aug,mon,nonexistent,50,1,0
4102,unknown|yes,0,1.1,93.994,-36.4,4.858,5191.0,blue-collar,single,basic.9y,no,no,telephone,may,mon,nonexistent,36,5,0
20737,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,married,professional.course,no,no,cellular,aug,wed,nonexistent,31,1,0
22762,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,divorced,professional.course,yes,no,cellular,aug,mon,nonexistent,45,2,0
25847,no,0,-0.1,93.2,-42.0,4.12,5195.8,admin.,married,high.school,yes,no,cellular,nov,wed,nonexistent,51,3,0
20636,no,0,1.4,93.444,-36.1,4.965,5228.1,admin.,married,university.degree,no,no,cellular,aug,wed,nonexistent,58,1,0
36773,no,0,-2.9,92.963,-40.8,1.268,5076.2,self-employed,single,university.degree,yes,no,cellular,jun,fri,nonexistent,25,5,0
9415,no,0,1.4,94.465,-41.8,4.967,5228.1,technician,married,basic.9y,no,no,telephone,jun,fri,nonexistent,40,4,0
8426,unknown|yes,0,1.4,94.465,-41.8,4.864,5228.1,retired,married,basic.4y,yes,no,telephone,jun,tue,nonexistent,58,3,0
37312,no,12,-2.9,92.201,-31.4,0.883,5076.2,technician,single,professional.course,yes,no,cellular,aug,tue,success,34,2,1
24448,no,0,-0.1,93.2,-42.0,4.191,5195.8,admin.,married,university.degree,no,no,cellular,nov,mon,nonexistent,37,1,0
6071,no,0,1.1,93.994,-36.4,4.857,5191.0,entrepreneur,married,high.school,no,no,telephone,may,tue,nonexistent,35,1,0
10469,no,0,1.4,94.465,-41.8,4.96,5228.1,technician,married,high.school,no,no,telephone,jun,mon,nonexistent,54,5,0
2091,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,single,basic.9y,yes,no,telephone,may,mon,nonexistent,36,4,0
5678,no,0,1.1,93.994,-36.4,4.857,5191.0,admin.,married,basic.6y,no,no,telephone,may,mon,nonexistent,37,1,0
21987,no,0,1.4,93.444,-36.1,4.964,5228.1,blue-collar,married,basic.4y,no,no,cellular,aug,wed,nonexistent,46,1,0
34537,unknown|yes,0,-1.8,92.893,-46.2,1.266,5099.1,technician,married,high.school,yes,no,cellular,may,thu,nonexistent,30,3,0
7052,no,0,1.1,93.994,-36.4,4.86,5191.0,services,married,high.school,yes,no,telephone,may,thu,nonexistent,38,1,0
21589,unknown|yes,0,1.4,93.444,-36.1,4.963,5228.1,admin.,married,university.degree,no,no,cellular,aug,tue,nonexistent,54,1,0
15072,unknown|yes,0,1.4,93.918,-42.7,4.958,5228.1,admin.,single,high.school,yes,no,cellular,jul,thu,nonexistent,27,1,0
3902,unknown|yes,0,1.1,93.994,-36.4,4.858,5191.0,technician,divorced,university.degree,no,no,telephone,may,mon,nonexistent,43,2,0
19911,unknown|yes,0,1.4,93.444,-36.1,4.966,5228.1,technician,divorced,high.school,yes,no,cellular,aug,fri,nonexistent,44,1,0
33970,unknown|yes,0,-1.8,92.893,-46.2,1.281,5099.1,blue-collar,single,basic.4y,yes,no,cellular,may,wed,failure,35,3,1
29966,no,0,-1.8,93.075,-47.1,1.405,5099.1,self-employed,married,basic.4y,yes,no,cellular,apr,mon,nonexistent,57,5,0
11511,no,0,1.4,94.465,-41.8,4.959,5228.1,retired,divorced,university.degree,yes,no,telephone,jun,fri,nonexistent,60,4,0
24245,no,0,-0.1,93.2,-42.0,4.191,5195.8,admin.,married,basic.9y,no,no,cellular,nov,mon,nonexistent,54,1,0
36840,no,0,-2.9,92.963,-40.8,1.26,5076.2,technician,single,professional.course,yes,no,cellular,jun,mon,nonexistent,25,1,0
24462,no,0,-0.1,93.2,-42.0,4.191,5195.8,technician,married,university.degree,yes,no,cellular,nov,mon,nonexistent,53,1,0
25316,no,0,-0.1,93.2,-42.0,4.153,5195.8,technician,single,professional.course,yes,no,cellular,nov,tue,nonexistent,34,2,0
20575,no,0,1.4,93.444,-36.1,4.966,5228.1,technician,married,professional.course,yes,no,cellular,aug,tue,nonexistent,38,3,0
40828,no,6,-1.1,94.199,-37.5,0.879,4963.6,admin.,single,high.school,no,no,cellular,sep,mon,success,31,5,3
5629,no,0,1.1,93.994,-36.4,4.857,5191.0,services,divorced,high.school,no,no,telephone,may,mon,nonexistent,44,1,0
6235,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,high.school,no,no,telephone,may,tue,nonexistent,32,1,0
9626,no,0,1.4,94.465,-41.8,4.961,5228.1,blue-collar,single,basic.4y,no,no,telephone,jun,mon,nonexistent,49,1,0
22795,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,married,professional.course,no,no,cellular,aug,mon,nonexistent,35,2,0
17799,no,0,1.4,93.918,-42.7,4.961,5228.1,blue-collar,divorced,basic.4y,no,no,cellular,jul,tue,nonexistent,53,1,0
39910,no,0,-1.7,94.055,-39.8,0.739,4991.6,admin.,single,university.degree,yes,no,cellular,jun,wed,failure,36,1,1
7535,unknown|yes,0,1.1,93.994,-36.4,4.864,5191.0,admin.,married,basic.4y,yes,no,telephone,may,fri,nonexistent,54,1,0
15512,no,0,1.4,93.918,-42.7,4.957,5228.1,student,single,university.degree,yes,no,cellular,jul,fri,nonexistent,20,11,0
18806,no,0,1.4,93.918,-42.7,4.968,5228.1,admin.,married,university.degree,no,no,cellular,jul,thu,nonexistent,35,10,0
29653,no,0,-1.8,93.075,-47.1,1.405,5099.1,blue-collar,married,high.school,yes,no,cellular,apr,mon,nonexistent,33,5,0
28135,no,0,-1.8,93.075,-47.1,1.466,5099.1,retired,married,basic.6y,yes,no,telephone,apr,mon,nonexistent,56,1,0
2142,unknown|yes,0,1.1,93.994,-36.4,4.857,5191.0,management,married,university.degree,no,no,telephone,may,mon,nonexistent,52,4,0
28245,no,0,-1.8,93.075,-47.1,1.453,5099.1,services,divorced,high.school,no,no,cellular,apr,tue,nonexistent,44,1,0
24519,no,0,-0.1,93.2,-42.0,4.191,5195.8,technician,single,high.school,no,no,cellular,nov,mon,failure,31,1,1
31405,no,0,-1.8,92.893,-46.2,1.334,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,wed,nonexistent,32,2,0
34175,unknown|yes,0,-1.8,92.893,-46.2,1.281,5099.1,blue-collar,married,basic.6y,no,no,cellular,may,wed,nonexistent,57,5,0
27533,no,0,-0.1,93.2,-42.0,4.021,5195.8,management,married,university.degree,no,no,cellular,nov,fri,nonexistent,40,3,0
38588,unknown|yes,0,-3.4,92.431,-26.9,0.72,5017.5,retired,married,basic.4y,yes,no,cellular,oct,fri,nonexistent,60,1,0
34459,no,0,-1.8,92.893,-46.2,1.266,5099.1,services,divorced,high.school,no,no,cellular,may,thu,nonexistent,42,1,0
14236,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,basic.9y,yes,no,cellular,jul,mon,nonexistent,35,2,0
17850,no,0,1.4,93.918,-42.7,4.961,5228.1,student,single,high.school,no,no,cellular,jul,tue,nonexistent,24,1,0
35182,unknown|yes,0,-1.8,92.893,-46.2,1.25,5099.1,blue-collar,married,basic.9y,no,no,cellular,may,fri,failure,51,1,1
25210,no,0,-0.1,93.2,-42.0,4.153,5195.8,admin.,single,high.school,yes,no,cellular,nov,tue,nonexistent,30,2,0
3384,unknown|yes,0,1.1,93.994,-36.4,4.86,5191.0,technician,married,university.degree,no,no,telephone,may,thu,nonexistent,35,2,0
34195,no,0,-1.8,92.893,-46.2,1.281,5099.1,admin.,married,high.school,yes,no,cellular,may,wed,nonexistent,27,3,0
32947,no,0,-1.8,92.893,-46.2,1.299,5099.1,technician,single,basic.9y,no,yes,cellular,may,mon,nonexistent,30,1,0
8371,no,0,1.4,94.465,-41.8,4.864,5228.1,technician,married,professional.course,yes,no,telephone,jun,tue,nonexistent,35,6,0
27983,no,0,-1.8,93.075,-47.1,1.498,5099.1,admin.,married,basic.6y,yes,no,cellular,apr,wed,failure,49,2,1
2436,no,0,1.1,93.994,-36.4,4.856,5191.0,unemployed,single,university.degree,no,no,telephone,may,tue,nonexistent,42,1,0
28738,no,0,-1.8,93.075,-47.1,1.41,5099.1,admin.,single,university.degree,yes,no,cellular,apr,thu,nonexistent,32,1,0
32266,no,0,-1.8,92.893,-46.2,1.313,5099.1,technician,married,university.degree,no,no,cellular,may,fri,nonexistent,34,1,0
34139,no,0,-1.8,92.893,-46.2,1.281,5099.1,technician,single,professional.course,yes,no,cellular,may,wed,nonexistent,42,2,0
8580,no,0,1.4,94.465,-41.8,4.864,5228.1,retired,married,basic.4y,no,yes,telephone,jun,wed,nonexistent,52,3,0
30401,no,0,-1.8,93.075,-47.1,1.365,5099.1,admin.,single,high.school,no,no,cellular,apr,thu,nonexistent,33,3,0
14698,no,0,1.4,93.918,-42.7,4.961,5228.1,technician,divorced,high.school,no,no,cellular,jul,tue,nonexistent,51,4,0
16147,no,0,1.4,93.918,-42.7,4.961,5228.1,retired,married,basic.4y,no,no,cellular,jul,tue,nonexistent,58,1,0
16892,no,0,1.4,93.918,-42.7,4.962,5228.1,blue-collar,married,university.degree,no,yes,cellular,jul,thu,nonexistent,53,1,0
718,no,0,1.1,93.994,-36.4,4.857,5191.0,services,married,basic.6y,no,no,telephone,may,tue,nonexistent,46,3,0
26304,no,0,-0.1,93.2,-42.0,4.076,5195.8,admin.,single,university.degree,yes,no,telephone,nov,thu,nonexistent,36,1,0
29089,no,0,-1.8,93.075,-47.1,1.405,5099.1,blue-collar,married,university.degree,yes,no,cellular,apr,fri,nonexistent,42,3,0
10377,unknown|yes,0,1.4,94.465,-41.8,4.96,5228.1,management,married,university.degree,no,yes,telephone,jun,mon,nonexistent,45,1,0
2790,no,0,1.1,93.994,-36.4,4.859,5191.0,entrepreneur,married,basic.4y,no,no,telephone,may,wed,nonexistent,34,1,0
1106,no,0,1.1,93.994,-36.4,4.856,5191.0,blue-collar,married,basic.4y,yes,no,telephone,may,wed,nonexistent,41,3,0
21315,no,0,1.4,93.444,-36.1,4.963,5228.1,management,married,university.degree,yes,no,cellular,aug,mon,nonexistent,42,2,0
28227,unknown|yes,0,-1.8,93.075,-47.1,1.453,5099.1,services,divorced,high.school,no,no,cellular,apr,tue,failure,38,1,1
11534,no,0,1.4,94.465,-41.8,4.959,5228.1,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,nonexistent,34,2,0
35670,no,0,-1.8,92.893,-46.2,1.244,5099.1,management,divorced,professional.course,yes,no,cellular,may,mon,nonexistent,53,4,0
40588,no,0,-1.1,94.199,-37.5,0.884,4963.6,technician,married,university.degree,yes,no,telephone,sep,thu,failure,38,1,3
35031,no,0,-1.8,92.893,-46.2,1.25,5099.1,services,divorced,high.school,yes,no,cellular,may,fri,nonexistent,33,3,0
18764,no,0,1.4,93.918,-42.7,4.968,5228.1,services,single,high.school,yes,no,cellular,jul,thu,nonexistent,30,5,0
22324,no,0,1.4,93.444,-36.1,4.963,5228.1,admin.,single,university.degree,yes,no,cellular,aug,thu,nonexistent,33,4,0
6177,no,0,1.1,93.994,-36.4,4.857,5191.0,blue-collar,married,professional.course,no,yes,telephone,may,tue,nonexistent,32,1,0
20736,no,0,1.4,93.444,-36.1,4.965,5228.1,technician,single,professional.course,yes,no,cellular,aug,wed,nonexistent,35,2,0
6713,no,0,1.1,93.994,-36.4,4.857,5191.0,services,single,high.school,no,no,telephone,may,wed,nonexistent,28,3,0
36636,no,0,-2.9,92.963,-40.8,1.26,5076.2,blue-collar,married,basic.9y,no,yes,cellular,jun,thu,nonexistent,53,2,0
